GeneFamily,Sample,Value
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,53.0316775714
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,19.6427003146
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,65.5769133254
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,63.6256577929
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,67.465660672
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,43.6443575625
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,25.7501580956
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,21.9794999075
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,153.1440255845
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WYI8|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WYI8|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WYI8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0
