GeneFamily,Sample,Value,Condition
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,28.170700825500003,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,18.8532399437,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,7.137255472300001,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,2.3255813953,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,4.7285552196,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,9.3957921402,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,4.722609422900001,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,14.788525761099999,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,35.65623835,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,69.1227199062,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,25.0814367985,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,45.2502320738,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,62.473565363999995,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,87.1761025845,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,37.2027462915,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,43.4924784073,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,41.3797013357,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,44.826096051899995,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,142.1567858546,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,12.5662254532,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,19.1384472933,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,21.714479283600003,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,17.7802014274,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,5.675093700700001,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,36.2434987232,Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,9.9116899411,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,9.4506234257,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,13.866889713900001,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,15.119999375199999,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,26.4271060396,No-Monarch
UniRef90_A0A062X7M5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,19.1490590093,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,13.3926405622,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,28.7861099322,Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,21.1553805309,No-Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,13.8442180564,No-Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,17.7782244294,No-Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,22.9230416072,No-Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,29.0109181295,No-Monarch
UniRef90_A0A062X7N1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7P5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
